iter	Passed	Remaining
0	1	127
1	2	112
2	3	105
3	3	94
4	4	91
5	5	87
6	6	85
7	7	84
8	8	84
9	9	85
10	10	83
11	11	82
12	12	82
13	13	81
14	14	81
15	15	80
16	16	79
17	17	78
18	18	77
19	19	76
20	20	76
21	21	75
22	22	74
23	23	72
24	24	72
25	25	71
26	25	70
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	33	61
35	34	60
36	35	59
37	36	58
38	36	57
39	37	56
40	38	55
41	39	54
42	40	53
43	41	52
44	41	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	43
54	51	41
55	52	40
56	53	40
57	53	39
58	54	38
59	55	37
60	56	36
61	57	35
62	58	34
63	59	33
64	60	32
65	62	32
66	63	31
67	64	30
68	64	29
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	16
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	93	1
98	94	0
99	95	0
