iter	Passed	Remaining
0	139	139710
1	140	70225
2	141	47034
3	142	35409
4	142	28443
5	143	23798
6	144	20495
7	145	18041
8	146	16107
9	147	14557
10	147	13286
11	148	12223
12	149	11327
13	150	10586
14	151	9919
15	151	9337
16	152	8833
17	153	8373
18	154	7969
19	155	7601
20	155	7270
21	156	6970
22	157	6695
23	158	6445
24	159	6217
25	160	6009
26	161	5811
27	162	5630
28	163	5459
29	164	5304
30	164	5154
31	165	5011
32	166	4877
33	167	4750
34	167	4628
35	168	4514
36	169	4409
37	170	4310
38	171	4213
39	171	4123
40	172	4037
41	173	3953
42	174	3877
43	175	3807
44	176	3738
45	177	3671
46	177	3605
47	178	3541
48	179	3485
49	180	3431
50	181	3375
51	182	3320
52	183	3270
53	183	3218
54	184	3171
55	185	3126
56	186	3080
57	186	3035
58	187	2992
59	188	2950
60	189	2909
61	189	2872
62	190	2836
63	191	2800
64	192	2766
65	193	2731
66	193	2697
67	194	2666
68	195	2635
69	196	2605
70	196	2576
71	197	2547
72	198	2519
73	199	2491
74	199	2465
75	200	2441
76	201	2416
77	202	2391
78	203	2367
79	203	2343
80	204	2319
81	205	2298
82	205	2273
83	206	2253
84	207	2233
85	208	2213
86	209	2194
87	209	2174
88	210	2156
89	211	2139
90	212	2122
91	213	2104
92	214	2087
93	214	2070
94	215	2053
95	216	2039
96	217	2024
97	218	2009
98	219	1993
99	219	1979
100	220	1965
101	221	1953
102	222	1940
103	223	1926
104	224	1913
105	225	1899
106	226	1887
107	227	1876
108	228	1865
109	229	1854
110	229	1842
111	230	1830
112	231	1819
113	232	1809
114	233	1799
115	234	1788
116	235	1776
117	236	1765
118	237	1755
119	238	1746
120	239	1737
121	239	1726
122	240	1716
123	241	1707
124	242	1697
125	243	1690
126	244	1681
127	245	1672
128	246	1664
129	247	1655
130	248	1647
131	249	1641
132	250	1633
133	251	1625
134	252	1617
135	253	1609
136	254	1602
137	255	1595
138	256	1588
139	257	1580
140	258	1574
141	259	1566
142	260	1560
143	261	1553
144	262	1547
145	263	1540
146	264	1534
147	265	1528
148	266	1522
149	267	1515
150	268	1509
151	269	1503
152	270	1497
153	271	1492
154	272	1486
155	273	1480
156	274	1474
157	275	1469
158	276	1464
159	277	1458
160	278	1450
161	279	1445
162	280	1440
163	281	1436
164	282	1430
165	283	1424
166	284	1419
167	285	1414
168	286	1410
169	287	1404
170	288	1399
171	289	1394
172	290	1388
173	291	1385
174	292	1380
175	293	1375
176	294	1370
177	295	1365
178	296	1361
179	297	1356
180	298	1352
181	299	1347
182	300	1343
183	301	1338
184	302	1334
185	303	1329
186	304	1325
187	305	1320
188	306	1316
189	307	1312
190	308	1308
191	309	1303
192	310	1299
193	311	1295
194	313	1292
195	314	1288
196	315	1284
197	316	1280
198	316	1275
